gene	A01	A03	A06	A07	A08	D36_SCC	D39_SCC	D42_SCC	D44_SCC	E57_SCC	
Flnc	72	34	302	75	44	63	54	144	75	61	
4930524N10Rik	0	2	0	0	0	0	0	2	3	0	
Prpmp5	0	2	1	2	2	35	4	18	11	7	
Adipor1	465	175	1148	630	198	179	607	112	73	292	
Gm8909	24	2	59	0	3	8	68	5	1	36	
Gm15941	3	0	4	2	2	1	3	18	8	6	
Mageb2	0	0	0	0	0	0	0	0	0	0	
Mageb3	0	0	0	0	0	8	0	15	11	3	
Mageb1	0	0	0	0	0	0	0	0	4	0	
Mageb4	0	0	2	0	0	10	11	36	13	11	
Mageb5	0	0	0	0	0	2	6	3	0	0	
Ptcra	1	4	3	1	1	29	21	61	55	30	
Gm867	85	53	71	77	15	6	34	20	22	1	
Hdgfl1	4	6	8	1	1	7	13	23	4	22	
Chad	37	28	122	3	55	3	6	23	15	2	
Pou5f1	9	12	1	4	0	9	6	15	12	5	
Chat	185	69	191	65	53	21	41	41	33	39	
Pou5f2	27	0	8	0	0	0	19	10	10	0	
Rnf138rt1	2	0	0	0	0	27	4	24	0	1	
Dux	12	21	72	17	43	306	316	720	420	207	
E030025P04Rik	0	0	6	0	0	0	0	5	0	0	
Dut	30	40	77	9	2	6	86	26	36	95	
Foxr1	2	2	2	9	4	43	34	73	51	32	
Foxr2	0	1	0	2	0	0	4	15	3	3	
Cyp2d40	0	0	0	1	0	0	4	5	4	1	
4930402H24Rik	144	66	568	136	105	39	106	103	43	234	
Cyp26b1	14	58	192	47	19	41	29	62	28	60	
Nacc2	107	92	256	97	83	100	166	91	43	88	
Cyp4a32	0	0	0	0	0	2	0	1	0	0	
Cyp4a31	302	239	253	528	246	135	96	161	130	163	
Nacc1	257	134	475	218	156	133	489	247	109	338	
Clcn3	138	116	386	76	86	29	350	77	32	164	
Clcn2	0	0	15	9	0	37	7	54	32	91	
1700092C10Rik	0	0	0	0	0	0	4	2	0	0	
Clcn7	103	67	115	54	21	53	64	40	15	35	
Clcn6	29	9	49	17	7	4	16	23	18	10	
Clcn5	16	0	80	7	3	23	135	62	13	96	
Ufsp2	39	1	176	54	25	7	90	27	7	65	
Adm2	0	2	0	0	3	4	4	6	6	4	
Gm10814	8	4	3	3	6	7	5	23	19	9	
Scn1b	27	5	56	14	82	12	61	24	5	18	
Scn1a	3	0	3	0	2	26	6	49	32	14	
Hadhb	155	62	191	112	51	27	79	49	29	136	
Hadha	200	46	606	169	169	45	392	92	49	204	
Bst1	33	16	64	6	5	2	52	15	6	13	
Asl	3	1	36	1	40	12	8	9	0	4	
Gm14296	0	0	0	0	0	0	0	0	0	0	
Lmcd1	4	10	73	17	9	39	13	15	4	25	
Arsj	2	1	8	4	7	17	11	58	30	14	
Muc19	3	0	5	3	8	43	10	54	34	9	
Muc15	0	0	0	0	0	19	28	11	15	11	
Muc13	2	1	1	33	1	54	83	56	26	24	
1700128F08Rik	0	1	0	0	1	24	3	64	42	0	
Olfr310	0	0	0	0	0	5	4	12	0	0	
Mir3470a	0	0	0	0	0	0	0	1	1	0	
Mir3470b	0	0	0	0	0	0	0	0	1	0	
Olfr313	0	0	0	5	0	0	3	0	1	0	
Olfr314	0	0	0	0	0	1	2	15	3	0	
Mir28a	0	0	0	0	0	0	0	0	0	0	
Mir28b	0	0	0	0	0	0	0	0	0	0	
Mir28c	0	0	0	0	0	0	0	0	0	0	
Olfr318	0	0	0	0	0	2	11	21	0	2	
Olfr319	0	2	1	0	0	1	0	5	6	1	
Peg3	139	31	584	20	22	81	383	104	56	83	
Gfi1b	1	0	0	0	0	2	10	30	9	1	
Phtf1os	11	0	0	0	3	30	6	13	11	4	
1500017E21Rik	0	0	2	0	0	9	3	10	10	3	
Dkk4	1	0	2	0	0	20	7	11	2	5	
Dkk2	259	170	332	415	188	73	150	112	96	199	
Dkk3	144	60	212	93	104	35	154	57	41	87	
Ier3ip1	153	23	286	80	26	8	104	27	6	36	
Dkk1	1575	1549	1573	3232	1472	307	481	443	283	735	
Mir7015	0	0	0	0	0	0	0	0	0	0	
Mir7014	0	0	0	0	0	0	0	0	0	0	
Mir7017	0	0	0	0	0	0	0	1	0	0	
Mir7016	0	0	0	0	0	0	0	0	0	0	
Mir7011	0	0	0	0	0	0	0	0	0	0	
Mir7010	0	0	0	0	0	0	0	0	0	0	
Mir7013	0	0	0	0	0	0	0	0	0	0	
Mir7012	0	0	0	0	0	0	0	0	0	0	
Mir7019	0	0	0	0	0	0	0	0	0	0	
Gje1	1	0	0	3	0	10	23	19	8	3	
Krtap19-9b	0	0	0	0	0	0	0	0	2	0	
Strip1	40	9	80	79	10	7	123	35	30	182	
Strip2	5	12	14	0	0	15	4	63	21	1	
Ndrg3	246	90	564	111	113	66	224	36	23	264	
9330182O14Rik	0	0	0	0	0	0	4	12	9	1	
Deaf1	11	101	166	95	22	12	107	40	21	59	
Sugct	0	54	0	0	0	2	1	4	2	8	
Itgax	187	91	101	91	70	13	80	86	33	30	
Gm10104	0	0	0	0	0	0	0	1	6	0	
Gm10100	1	0	0	0	0	6	0	5	5	0	
C030034I22Rik	4	6	50	6	26	11	86	34	19	0	
0610009B22Rik	4	0	49	37	1	4	12	6	5	2	
Itgav	501	201	1001	244	312	270	864	128	72	474	
BC031181	131	8	446	138	41	29	175	54	33	80	
Itgal	262	46	460	132	53	27	42	92	18	16	
Itgam	264	177	480	196	133	74	470	232	77	276	
Itgad	2	0	4	1	3	30	8	31	29	2	
Itgae	13	5	70	20	2	30	21	49	25	3	
Gtf2e1	26	10	60	20	7	5	15	47	31	12	
Eif4e3	338	180	440	365	176	37	111	57	51	430	
Eif4e2	168	102	345	150	128	45	359	64	33	206	
Faxc	1	17	41	13	10	32	178	51	42	15	
Gm14484	0	0	0	0	0	0	0	0	0	0	
Gm14482	0	0	0	0	2	0	3	1	0	0	
Gm14483	0	0	0	0	0	0	0	0	0	0	
Itga8	897	595	2548	1220	510	52	257	51	35	90	
Itga9	309	151	941	203	139	32	164	75	53	38	
Ralgds	131	38	382	92	62	41	188	62	35	35	
Ubl4b	0	1	6	7	1	10	2	9	11	2	
Itga1	822	254	2536	527	297	86	141	67	24	75	
Itga2	85	81	333	45	13	1	135	50	19	122	
Itga3	503	199	1130	494	257	98	693	129	106	364	
Itga4	397	141	651	187	147	686	636	1446	713	286	
Itga5	152	69	245	96	59	16	98	96	47	188	
Itga6	357	80	1026	245	92	119	1029	221	118	1288	
Itga7	29	9	178	10	11	24	16	39	16	20	
Zfp865	50	39	142	60	37	48	108	68	67	36	
Zfp866	136	53	384	116	93	59	155	102	47	47	
Zfp867	51	4	24	19	3	8	43	43	13	28	
Unc119	44	42	51	15	28	21	40	30	12	5	
Noxred1	0	0	1	4	1	4	6	13	9	5	
Zfp868	15	10	125	129	37	44	30	19	6	3	
Zfp869	36	7	86	33	1	0	114	11	27	16	
1700123O20Rik	27	42	87	21	17	39	79	36	12	8	
Mir8108	0	0	0	0	0	0	0	0	0	0	
Mir8109	0	0	0	0	0	0	0	0	0	0	
Mir8106	0	0	0	0	0	0	0	0	5	0	
Mir8107	0	0	0	0	0	0	0	7	0	0	
Mir8104	0	0	0	0	0	0	0	0	0	0	
Mir8105	0	0	0	0	0	0	0	3	1	0	
Mir8102	0	0	0	0	7	0	0	1	3	0	
Mir8103	0	0	0	0	0	1	0	0	0	0	
Mir8100	0	2	0	0	0	0	0	2	1	0	
Mir8101	0	0	0	0	0	0	0	0	0	0	
Gm8298	0	0	0	0	0	0	0	6	2	0	
Schip1	12	4	21	0	1	8	2	6	3	1	
Olfr888	0	5	0	0	0	2	0	2	2	0	
Olfr889	0	0	0	0	0	5	0	6	1	2	
Olfr881	0	0	0	0	0	0	4	6	0	0	
Olfr883	0	0	0	0	0	0	0	4	3	0	
Olfr884	0	0	0	0	0	2	0	1	2	1	
Olfr885	0	0	0	0	0	0	2	0	4	10	
Olfr887	0	0	0	0	0	3	3	4	2	1	
Pid1	139	55	333	80	23	14	60	17	25	5	
Zfp14	21	14	34	5	1	20	24	33	18	3	
Zfp12	96	119	239	70	9	43	101	123	59	111	
Scrg1	0	0	0	0	0	3	0	3	2	2	
Zfp11	37	76	123	74	82	106	53	276	93	67	
Tm4sf20	0	0	0	2	1	2	4	12	4	0	
1700065J18Rik	0	0	0	0	0	4	0	3	0	0	
Cmc1	7	3	64	2	1	12	38	14	12	7	
Cmc2	18	13	22	18	33	13	25	25	13	38	
Cmc4	10	0	15	0	4	6	0	5	1	2	
Kcne2	17	18	197	41	14	1	9	23	5	5	
Kcne3	0	0	9	2	1	34	32	41	17	0	
Kcne1	0	2	9	1	3	31	8	29	28	14	
Kcne4	11	0	54	0	0	6	79	27	16	67	
Inhba	5	3	28	0	6	5	52	30	17	60	
Dopey2	187	84	678	330	68	83	179	90	79	193	
Dopey1	198	74	457	141	83	27	168	87	56	105	
Gm5294	0	0	0	0	0	32	3	8	5	6	
Shroom2	139	76	450	43	24	72	231	140	37	146	
Shroom1	20	1	5	0	0	3	12	36	19	3	
Crnn	0	2	2	0	1	4	12	43	25	48	
Tdrkh	6	6	42	2	3	23	51	21	12	2	
Col11a1	1	0	11	2	5	8	8	29	16	25	
Col11a2	9	4	17	3	0	7	19	44	21	13	
3110045C21Rik	0	0	0	1	0	0	2	12	0	0	
Daxx	73	20	250	16	11	32	153	54	22	103	
Atic	52	28	142	35	28	24	111	25	20	27	
Mtch2	168	68	395	70	135	114	160	48	17	173	
Mtch1	181	128	437	123	88	29	179	42	20	87	
Tial1	88	70	299	91	129	7	256	48	25	108	
1810008I18Rik	2	4	7	2	6	11	2	8	8	8	
1810058I24Rik	208	27	160	190	53	10	46	20	5	38	
Foxi1	0	0	2	0	3	20	31	46	41	11	
Foxi3	1	0	1	0	0	11	2	18	2	6	
Foxi2	0	3	0	1	2	11	12	37	36	6	
Ncan	11	13	11	12	20	59	59	108	45	14	
Rem1	23	0	40	28	2	6	12	17	4	30	
Rem2	3	0	2	0	0	14	7	22	20	4	
1700072I22Rik	2	0	2	0	0	6	4	12	8	1	
Eno1b	1	2	23	6	0	7	167	24	1	47	
4930455G09Rik	8	0	4	0	1	0	7	8	1	0	
Ogfod1	100	67	283	69	103	57	135	60	37	76	
Ogfod3	6	29	18	4	4	0	15	16	12	3	
Ogfod2	40	0	39	25	8	2	5	15	9	18	
Lyrm2	12	28	193	23	12	4	50	29	9	14	
Lyrm1	0	0	30	0	5	1	3	20	5	58	
Acrv1	0	2	0	0	0	0	3	6	4	0	
Lyrm5	15	4	34	2	4	15	116	13	13	31	
Lyrm4	40	25	28	0	5	18	22	26	6	3	
Lyrm9	32	24	81	15	39	36	42	72	41	18	
BC048507	0	1	3	2	0	5	3	5	7	1	
BC048502	0	0	0	0	0	0	0	6	5	0	
Patl2	1	0	0	7	1	7	9	29	13	2	
Pmfbp1	3	0	8	0	3	2	17	42	30	4	
Patl1	203	56	307	196	77	83	135	55	36	105	
Mob3b	594	265	894	643	316	74	339	90	89	111	
Mob3c	83	16	82	73	18	20	95	38	42	27	
Mob3a	62	16	118	165	39	15	94	47	28	44	
4933413L06Rik	2	1	2	3	1	12	8	53	25	13	
Cyld	195	65	447	180	94	191	405	368	219	271	
1700057H15Rik	0	0	0	0	2	3	0	4	0	0	
D030056L22Rik	16	57	58	2	2	2	14	17	6	93	
Fev	1	0	0	1	2	2	13	16	20	13	
Ust	23	42	43	13	7	42	33	45	32	23	
Fer	158	34	399	57	42	18	115	49	20	41	
Fes	56	31	75	8	9	9	49	39	34	24	
4933406J10Rik	0	0	0	0	0	3	3	14	12	0	
Tex2	108	21	323	128	52	71	142	120	59	109	
Gm9125	0	0	0	0	0	0	7	0	1	0	
1700063A18Rik	0	0	0	0	0	1	0	0	0	0	
Mbip	39	0	271	64	20	1	51	5	4	59	
Tm4sf1	134	63	679	223	33	7	129	23	22	114	
Tm4sf4	0	1	1	0	0	0	2	4	2	0	
Tm4sf5	0	5	0	0	0	2	0	10	2	0	
0610038B21Rik	10	0	0	1	0	9	12	19	13	1	
Cckar	112	172	333	68	67	45	17	29	12	15	
Grin3a	3	1	4	8	1	17	27	52	31	5	
Grin3b	0	5	6	2	0	35	8	24	15	6	
Gm2721	0	1	0	0	0	8	4	9	0	1	
Mir155hg	0	0	1	0	0	1	1	11	3	2	
Acvrl1	963	367	2546	851	529	100	184	46	41	56	
Camkv	1	2	0	2	0	16	6	43	14	5	
B230112J18Rik	0	0	1	0	0	0	3	8	1	0	
Chaf1a	0	12	39	14	7	35	86	54	28	21	
Chaf1b	9	1	18	2	1	17	9	16	16	31	
Hmg20a	107	54	182	95	117	50	31	52	26	131	
Hmg20b	93	10	119	12	17	1	40	20	13	31	
Gm2897	0	0	0	0	0	0	0	1	0	0	
Cgn	143	129	499	243	59	85	327	114	69	108	
Cacnb3	42	16	55	44	19	61	67	44	13	20	
Cacnb2	57	36	180	25	43	26	56	41	30	21	
Cacnb1	27	2	74	19	10	32	16	53	35	0	
Cacnb4	3	1	3	9	1	14	16	70	18	1	
BC030336	69	54	225	21	71	28	131	46	17	56	
Slc30a10	1	0	1	3	1	76	7	36	31	5	
Obscn	74	33	142	41	46	32	41	196	85	52	
1700027F06Rik	0	0	0	0	0	0	0	4	0	0	
Glt28d2	27	4	52	23	0	10	50	12	19	2	
Camk1	116	57	278	20	44	5	79	28	18	45	
Camk4	17	3	11	5	24	56	62	172	80	19	
Ammecr1	37	21	47	82	2	45	96	58	19	160	
Vwde	0	0	0	0	0	48	6	31	11	4	
Ftmt	0	2	1	1	0	3	3	4	7	1	
Qrsl1	21	0	20	0	5	3	10	14	7	1	
Xrcc6bp1	4	0	38	8	0	1	23	9	2	0	
Rhox1	0	0	0	0	0	2	3	19	2	1	
Nf2	511	333	677	683	488	133	335	164	127	266	
Nf1	550	179	995	475	308	54	485	144	93	233	
1700029I15Rik	0	0	0	0	0	1	0	1	1	0	
Npbwr1	0	0	2	1	1	2	4	17	9	33	
Hist2h3c1	0	0	0	0	0	0	0	0	0	0	
Wfdc21	7	0	1	0	2	0	5	3	4	0	
Hist2h3c2	0	0	0	0	0	0	0	0	0	0	
Syce1l	0	0	0	0	0	0	0	2	1	0	
Ptprv	38	3	13	22	0	22	24	52	30	1	
Ptpru	98	33	241	101	25	21	120	60	32	20	
Ptprt	1779	1862	1819	3166	1447	379	526	472	292	1192	
Ptprs	227	153	667	246	128	86	666	170	74	437	
Ptprr	12	1	1	0	7	54	11	46	35	6	
Ptprq	4	3	1	0	2	4	33	57	22	2	
Ptprg	688	399	2221	465	234	119	419	119	60	244	
Ptprf	718	462	2657	745	463	220	1449	265	119	1535	
Ptpre	377	116	567	224	165	151	292	180	73	164	
Ptprd	321	78	658	202	190	52	107	70	33	15	
Ptprc	454	138	956	260	217	25	222	109	45	125	
Ptprb	3846	2100	12472	4473	2215	126	1109	258	147	160	
Ptpra	187	104	807	145	91	97	162	111	53	168	
Ptpro	14	4	52	8	30	17	50	118	37	17	
Ptprn	4	6	44	14	3	49	5	28	15	1	
Ptprm	661	168	1877	422	331	85	157	61	53	33	
Ptprk	324	179	922	181	154	90	555	77	59	337	
Ptprj	634	209	859	419	254	163	1062	233	123	201	
Ptprh	0	0	0	0	0	8	2	21	4	15	
C2cd4a	1	1	0	0	1	0	8	2	4	2	
C2cd4b	17	1	1	2	0	2	7	6	4	3	
C2cd4c	6	1	9	8	1	16	26	84	42	15	
C2cd4d	0	0	0	4	1	2	0	9	3	2	
Dhodh	1	1	14	1	1	9	35	22	18	6	
Evpl	35	26	189	30	9	197	652	180	161	670	
Mir1249	0	0	0	0	0	0	0	0	0	0	
4933405D12Rik	0	0	0	0	0	8	3	26	7	1	
D030025P21Rik	7	23	26	11	3	14	23	39	34	8	
Mir1247	0	0	0	0	0	0	0	0	0	0	
Zbtb3	2	5	21	2	3	13	49	33	31	0	
Rhox7a	1	2	0	2	2	16	0	11	2	1	
Zbtb1	152	16	193	36	59	30	211	35	23	72	
Slc27a6	0	1	4	7	0	3	7	24	9	5	
Zbtb6	156	1	203	136	44	63	214	130	85	75	
Zbtb5	36	9	73	36	5	35	62	78	32	44	
Zbtb4	1099	517	2570	844	347	112	619	162	122	101	
AI317395	2	0	20	12	18	1	2	26	19	6	
Rras2	112	29	457	44	78	4	52	28	25	171	
Imp3	22	38	146	64	9	2	37	13	10	9	
C330006A16Rik	102	17	173	35	45	12	188	58	21	75	
Serbp1	516	125	1835	533	308	125	877	150	123	1098	
Gde1	86	42	285	51	109	37	178	20	19	48	
6330415G19Rik	0	0	2	3	4	26	16	22	31	21	
Olfr1301	0	0	0	2	2	3	3	12	0	4	
Olfr1303	0	0	4	0	1	3	0	13	3	5	
Olfr1302	0	0	0	0	0	0	0	1	5	0	
Col25a1	2	5	1	0	1	16	9	40	16	4	
Olfr1307	0	0	0	0	0	4	0	3	0	0	
Olfr1306	0	0	5	0	0	0	0	7	1	0	
Olfr1309	0	0	0	0	0	0	0	3	2	0	
Olfr1308	0	0	0	0	0	3	0	5	6	0	
Akap14	8	3	23	0	0	3	1	24	3	7	
Akap12	454	236	2632	377	232	79	384	205	116	76	
Akap13	1824	833	4889	1365	864	285	1938	357	228	661	
Akap10	93	35	317	131	86	92	215	45	44	32	
Akap11	352	204	1231	346	196	83	553	129	58	111	
Tmc4	118	96	153	93	45	131	472	84	49	456	
Tmc5	3	0	6	0	6	40	156	42	35	82	
Tmc6	60	21	102	14	20	14	53	22	15	14	
Tmc7	0	2	14	9	0	15	62	43	23	19	
Tmc1	6	2	2	13	1	15	23	37	23	6	
Tmc2	2	1	5	39	2	4	20	41	14	3	
Tmc3	7	14	4	0	1	18	23	53	17	11	
Tmc8	29	38	71	20	15	52	27	49	22	23	
Tram1l1	1	0	2	0	0	26	1	18	6	0	
Mlf1	11	1	53	8	6	1	1	6	5	2	
Mlf2	333	201	900	350	214	83	584	99	39	533	
Filip1	43	71	154	101	44	39	71	97	49	30	
Prob1	78	46	171	105	44	63	187	103	63	12	
BC006965	2	4	5	0	4	23	15	137	43	5	
Col26a1	1	0	0	4	1	3	8	20	10	6	
Dmrtc1b	3	0	0	0	0	6	4	11	2	0	
Dmrtc1a	0	0	0	24	0	7	21	15	0	0	
Pde6b	0	0	0	0	0	2	3	27	6	2	
Gm16294	0	0	0	0	0	0	0	14	7	0	
Pde6a	0	2	1	0	5	23	10	63	30	3	
Pde6g	0	0	0	0	0	0	1	9	3	1	
Trnp1	2	10	0	0	0	12	13	13	4	6	
Lrba	468	166	1421	231	103	113	1479	162	127	299	
Mir671	0	0	0	0	0	0	0	0	0	0	
Mir670	0	0	0	0	0	0	0	0	0	0	
Mir673	0	0	0	0	0	0	0	0	0	0	
Mir672	0	0	0	0	0	0	0	1	0	0	
Mir675	0	0	0	0	0	0	0	0	0	0	
Mir674	0	0	0	0	0	0	0	0	0	0	
Mir677	49	60	66	77	70	34	91	88	93	155	
Mir676	0	0	0	0	0	0	0	0	0	0	
Mir679	0	0	0	0	0	0	0	1	0	0	
Mir678	0	0	0	0	0	0	0	0	0	0	
Vat1l	0	0	1	1	2	18	16	24	12	9	
Trim30a	133	20	263	152	5	79	99	53	14	58	
Trim30b	2	4	29	23	0	32	10	24	18	3	
Trim30d	21	13	33	69	1	2	40	22	10	29	
1700024B18Rik	0	0	0	0	0	0	0	3	1	0	
Cryl1	7	3	12	20	7	1	76	18	2	4	
Tchhl1	0	0	2	0	1	39	12	37	24	16	
Ifitm10	3	14	15	25	2	29	1	31	19	24	
Abhd12b	0	0	0	1	1	0	1	4	5	2	
Foxo6	28	2	11	4	35	15	26	25	14	48	
8430430B14Rik	1	1	0	0	0	22	11	6	1	0	
Pbx4	3	1	5	3	3	1	9	22	19	6	
Pbx2	74	54	211	160	65	37	178	56	15	23	
Pbx3	59	35	231	32	14	14	201	41	18	69	
Pbx1	642	306	1404	595	323	170	1100	149	122	236	
Spag6l	0	0	0	0	0	5	2	22	7	4	
Milr1	56	20	59	43	38	35	23	74	33	24	
Tlr11	6	3	21	0	0	15	14	19	16	12	
Tlr12	2	7	2	0	5	32	4	22	6	3	
Tlr13	42	6	53	65	0	8	163	52	24	3	
4921501E09Rik	0	0	0	0	0	9	3	19	9	2	
Rnf25	50	6	77	13	3	14	38	14	7	10	
Rnf24	76	58	51	92	34	36	112	56	37	24	
Rnf26	53	20	80	9	7	121	21	69	44	25	
Rnf20	191	104	793	191	148	34	250	89	59	232	
Rnf128	18	2	39	11	23	2	18	26	16	18	
Rnf126	71	15	88	14	35	6	92	22	15	172	
Rnf125	60	8	276	38	21	32	111	34	14	28	
Rnf123	89	28	203	36	25	31	94	51	17	25	
Rnf122	30	29	31	4	4	31	62	33	22	81	
Rnf121	12	16	108	12	43	41	22	33	18	7	
Utrn	1945	1426	8192	2252	1288	213	1180	241	181	813	
1700011E24Rik	0	0	1	1	0	0	5	20	17	1	
1700029H14Rik	0	0	3	0	1	0	10	24	2	4	
Zfp275	76	25	177	37	55	24	88	73	16	92	
Zfp277	106	97	229	180	143	885	743	2418	1263	314	
Zfp276	70	35	75	25	16	42	87	65	33	77	
Zfp273	17	0	18	1	0	17	7	9	5	11	
Olfr295	0	0	0	0	0	2	0	3	3	0	
Olfr294	0	0	0	0	0	0	0	6	1	0	
Olfr297	0	0	0	0	0	0	0	1	8	0	
Olfr291	0	0	0	0	0	3	9	4	4	3	
Olfr290	0	0	0	0	0	3	1	5	6	0	
Olfr293	0	0	0	2	0	9	4	16	2	0	
Olfr292	0	0	0	0	0	4	0	7	0	4	
Pip4k2a	143	20	283	162	25	9	173	62	23	24	
Olfr298	0	0	0	1	0	6	2	7	2	9	
Pip4k2c	173	90	436	152	151	74	143	83	38	108	
Pip4k2b	147	85	365	106	70	47	168	85	46	113	
Zdhhc15	0	1	1	5	0	12	8	23	2	1	
Synpo	356	150	784	401	147	170	527	160	81	206	
C1ql1	0	0	0	0	1	1	7	11	0	2	
C1ql2	0	2	1	1	1	5	23	16	7	1	
C1ql3	0	3	0	0	1	6	18	18	13	1	
Setbp1	173	127	744	238	106	85	478	212	92	41	
Synpr	1	0	0	0	0	1	4	19	5	2	
Armt1	16	0	78	9	19	13	24	26	24	24	
Kcnj6	3	9	2	1	6	34	14	75	31	18	
Kcnj5	23	14	4	2	22	39	11	73	46	42	
Zdhhc12	14	0	17	16	3	15	10	29	22	9	
Kcnj8	40	0	23	0	37	23	8	36	26	1	
Nup62-il4i1	0	0	1	1	0	0	1	4	0	0	
Gm23363	0	0	0	0	0	0	0	4	0	0	
Ghdc	64	9	64	13	5	46	40	77	33	23	
Pfkfb1	3	3	0	7	0	0	9	20	0	0	
Pfkfb3	552	182	768	165	72	129	294	181	88	102	
Pfkfb2	410	193	750	549	295	187	603	261	153	275	
Pfkfb4	112	8	139	37	42	22	53	36	45	19	
Tm9sf4	156	83	460	218	56	52	220	89	46	117	
Tm9sf1	76	32	185	69	24	55	204	45	28	88	
Tm9sf3	1097	464	2455	720	302	140	1287	161	74	783	
Tm9sf2	318	165	1064	278	111	89	365	59	46	214	
Cep128	40	54	138	32	46	19	110	79	30	70	
Ecd	31	25	144	18	26	37	79	84	49	145	
Cep120	125	26	635	72	51	25	138	95	30	91	
Cep126	22	4	199	37	9	7	4	39	17	2	
Lyzl4	0	0	3	0	0	0	0	15	2	0	
Lyzl6	0	0	0	0	0	0	0	2	1	0	
Lyzl1	0	0	0	0	0	0	2	3	4	1	
Nemf	150	39	492	110	34	20	258	41	31	102	
Rrad	5	1	24	6	2	7	5	8	7	9	
Mir5103	0	0	0	0	0	0	0	0	0	0	
Smr3a	0	0	0	30	0	0	1	9	8	0	
Rras	144	29	283	175	44	7	32	23	11	89	
Sh2d1b1	32	3	16	8	0	13	0	9	12	4	
Sh2d1b2	0	0	3	0	1	1	0	1	0	0	
Pdlim4	3	24	8	19	9	5	8	15	4	0	
Pdlim5	286	112	703	239	134	99	808	134	96	547	
Pdlim7	44	26	300	264	16	32	168	47	24	83	
Pdlim1	134	139	566	107	54	64	259	88	31	364	
Pdlim2	148	62	476	164	71	25	191	61	31	78	
Pdlim3	11	19	50	36	2	5	5	25	8	0	
Gm35612	0	0	0	0	0	0	0	2	1	0	
Bzrap1	74	2	49	10	12	65	58	118	33	11	
Gpaa1	17	41	16	57	35	36	16	21	13	13	
Pcsk9	0	1	1	1	0	2	16	31	3	2	
Pnrc1	377	132	677	160	153	52	360	44	22	306	
Pnrc2	190	62	459	139	105	19	206	58	28	148	
Pcsk2	2	5	3	8	3	12	8	43	32	6	
Card11	69	27	209	36	17	44	26	52	33	23	
Card10	131	99	314	167	42	55	388	57	52	93	
Pcsk6	37	5	44	19	17	72	239	50	48	120	
Pcsk7	53	45	59	20	30	13	108	43	41	18	
Pcsk4	18	1	5	7	0	17	22	40	24	2	
Card14	0	0	4	4	1	7	41	42	31	30	
Lmod1	16	19	226	12	11	75	31	80	45	8	
Rbm19	25	1	144	11	11	39	65	63	36	76	
Lmod3	2	0	19	5	6	27	16	31	12	18	
Lmod2	9	3	54	11	14	6	17	37	23	9	
Nolc1	72	22	202	56	7	38	76	94	32	121	
Pzp	0	0	3	0	0	26	13	51	22	22	
Rps15a	283	125	814	252	109	164	771	126	87	406	
A930005H10Rik	27	5	8	10	10	0	17	13	9	1	
Gm5485	0	0	0	0	0	1	0	4	3	0	
5830416I19Rik	2	4	6	4	6	18	9	31	8	9	
Pom121l2	2	1	4	2	0	31	24	73	27	8	
Gm5483	3	0	0	0	0	0	0	2	0	0	
Cyc1	24	25	113	31	44	9	51	24	13	34	
1700088E04Rik	34	5	43	4	15	3	17	9	12	48	
Nr1d1	197	358	546	186	108	112	287	84	64	58	
Snora75	75	27	77	88	91	43	96	89	29	70	
Snora70	188	245	358	349	217	95	172	141	106	470	
Gm25018	0	0	0	0	0	0	0	0	0	0	
5730522E02Rik	0	0	0	0	0	0	0	9	2	0	
Rwdd4a	69	19	145	1	16	40	137	40	16	41	
Cklf	4	0	3	5	0	4	8	24	21	13	
Lmnb2	18	0	65	20	5	33	64	61	25	40	
Lmnb1	38	7	143	18	17	28	146	65	43	50	
Pcdhb15	10	19	20	6	1	4	27	35	15	6	
Snora7a	130	251	366	304	238	122	283	245	162	554	
Cisd2	88	56	287	78	19	12	142	56	25	69	
Cisd3	28	10	7	6	10	18	9	17	14	7	
Tha1	7	3	1	0	0	2	2	13	5	15	
Cisd1	24	4	98	30	20	7	69	22	3	11	
Fam49a	271	104	719	254	45	34	127	52	23	9	
Manba	44	32	68	21	15	14	94	39	26	54	
Fam49b	100	39	196	47	23	14	132	30	20	25	
Gm4285	2	7	22	20	1	34	27	53	32	1	
Colec12	311	220	898	292	164	183	501	507	315	151	
Colec10	0	1	1	0	1	38	19	25	14	1	
Colec11	0	0	0	0	1	0	5	14	6	3	
Mamdc4	12	3	1	1	2	9	45	29	7	0	
Mamdc2	155	125	479	160	98	12	61	66	17	5	
Rptor	143	127	364	166	76	41	133	101	60	62	
Fcer2a	7	1	7	26	1	11	28	46	13	32	
Cttnbp2	42	16	112	49	12	45	22	79	27	22	
Fam174b	684	229	2498	594	471	31	236	56	35	26	
Fam174a	49	64	182	29	8	0	24	21	1	2	
Chrdl1	164	105	220	99	73	34	50	46	13	5	
Pkmyt1	0	11	1	7	5	12	22	20	28	10	
Chrdl2	1	0	4	3	0	13	3	29	8	7	
Zfp592	205	86	548	185	116	85	278	145	76	90	
Tmem125	25	0	22	28	0	25	35	10	4	12	
Tmem127	226	75	462	238	136	90	373	77	37	269	
Tmem121	0	0	3	1	1	5	4	19	5	1	
Tmem123	651	288	1694	626	398	35	790	113	49	479	
Wipi2	160	65	278	96	39	27	99	51	34	43	
Wipi1	73	53	113	17	23	65	95	43	10	70	
Tmem129	53	50	88	21	14	22	154	24	23	107	
Tmem128	24	35	73	30	7	4	41	12	9	14	
